rank,time,date,name,position,DOB,venue,nationality 
447,16:18.77,22 JUL 2006,Marharyta LUCHYNINA,2,29 NOV 1984,Kiev (UKR),UKR
448,16:18.78,28 MAY 2006,Ayumi HASHIMOTO,3,17 JUN 1983,Yokohama (JPN),JPN
449,16:19.09,31 MAR 2006,Johanna BONFIGLIO,17,1977,Palo Alto (USA),USA
450,16:19.32,12 AUG 2006,Freya MURRAY,3,20 SEP 1983,Manchester (GBR),GBR
451,16:19.33,23 JUL 2006,Leonor CARNEIRO,2,18 MAY 1978,Seia (POR),POR
452,16:19.35,22 APR 2006,Wenrong ZHENG,13,26 NOV 1988,Chongqing (CHN),CHN
453,16:19.39,22 OCT 2006,Akiko HITOMI,25,,Yokohama (JPN),JPN
454,16:19.40,14 JUN 2006,Caroline KWAMBAI,4,09 SEP 1975,Nairobi (KEN),KEN
455,16:19.41,14 MAY 2006,Yukako GOTO,4,16 SEP 1973,Gifu (JPN),JPN
456,16:19.44,11 JUN 2006,Seika NISHIKAWA,9,17 JUL 1987,Yokohama (JPN),JPN
457,16:19.46,30 APR 2006,Katrina RUNDHAUG,17,07 NOV 1984,Palo Alto (USA),USA
458,16:19.58,13 APR 2006,Irene KIMAIYO,17,25 JAN 1983,Walnut (USA),KEN
459,16:19.60,21 MAY 2006,Haruna MORI,23,08 APR 1985,Sendai (JPN),JPN
460,16:19.66,22 OCT 2006,Miwako KONDO,26,14 FEB 1975,Yokohama (JPN),JPN
461,16:19.68,08 APR 2006,Doricah OBARE,13,10 JAN 1990,Kumamoto (JPN),KEN
462,16:19.80,12 AUG 2006,Gemma MILES,4,27 OCT 1980,Manchester (GBR),GBR
463,16:19.91,23 APR 2006,Mika MATSUMOTO,6,24 NOV 1984,Wakayama (JPN),JPN
1,14:16.63,15 JUN 2007,Meseret DEFAR,1,19 NOV 1983,Oslo (NOR),ETH
2,14:22.51,15 JUN 2007,Vivian Jepkemoi CHERUIYOT,2,11 SEP 1983,Oslo (NOR),KEN
3,14:31.20,27 JUN 2007,Gelete BURKA,2,23 JAN 1986,Ostrava (CZE),ETH
4,14:33.83,27 JUN 2007,Meselech MELKAMU,3,19 APR 1985,Ostrava (CZE),ETH
5,14:35.67,02 JUN 2007,Tirunesh DIBABA,1,01 JUN 1985,New York (USA),ETH
6,14:36.52,13 JUL 2007,Mariem ALAOUI SELSOULI,1,08 APR 1984,Roma (ITA),MAR
7,14:40.74,26 MAY 2007,Florence KIPLAGAT,2,27 FEB 1987,Hengelo (NED),KEN
8,14:42.00,26 MAY 2007,Priscah Jepleting CHERONO,3,27 JUN 1980,Hengelo (NED),KEN
9,14:44.80,13 APR 2007,Shalane FLANAGAN,1,08 JUL 1981,Walnut (USA),USA
10,14:45.22,15 JUN 2007,Ejegayehu DIBABA,4,21 MAR 1982,Oslo (NOR),ETH
11,14:49.41,13 JUL 2007,Kimberley SMITH,2,19 NOV 1981,Roma (ITA),NZL
12,14:50.15,15 JUN 2007,Workitu AYANU,5,19 APR 1987,Oslo (NOR),ETH
13,14:51.72,26 MAY 2007,Mestawat TUFA,4,14 SEP 1983,Hengelo (NED),ETH
14,14:52.21,07 AUG 2007,Deena KASTOR,1,14 FEB 1973,Stockholm (SWE),USA
15,14:55.02,16 SEP 2007,Kara GOUCHER,3,09 JUL 1978,Berlin (GER),USA
16,14:55.50,07 AUG 2007,Linet Chepkwemoi MASAI,2,05 DEC 1989,Stockholm (SWE),KEN
17,14:56.39,13 JUL 2007,Jessica AUGUSTO,3,08 NOV 1981,Roma (ITA),POR
18,14:57.37,22 SEP 2007,Sylvia Jebiwot KIBET,2,28 MAR 1984,Stuttgart (GER),KEN
19,14:57.55,03 JUN 2007,Lucy Kabuu WANGUI,3,24 MAR 1984,Glasgow (GBR),KEN
20,14:58.51,13 JUL 2007,Jennifer RHINES,4,01 JUL 1974,Roma (ITA),USA
21,15:00.02,03 AUG 2007,Yekaterina VOLKOVA,1,16 FEB 1978,Tula (RUS),RUS
22,15:02.14,26 MAY 2007,Belaynesh FIKADU,5,28 MAR 1987,Hengelo (NED),ETH
23,15:02.28,07 AUG 2007,Lauren FLESHMAN,3,26 SEP 1981,Stockholm (SWE),USA
24,15:02.65,16 SEP 2007,Silvia WEISSTEINER,6,13 JUL 1979,Berlin (GER),ITA
25,15:02.73,31 OCT 2007,Fei XUE,1,08 AUG 1989,Wuhan (CHN),CHN
26,15:02.96,03 AUG 2007,Mariya KONOVALOVA,2,14 AUG 1974,Tula (RUS),RUS
27,15:03.95,31 OCT 2007,Fang XIE,2,26 DEC 1989,Wuhan (CHN),CHN
28,15:04.77,01 SEP 2007,Joanne PAVEY,8,20 SEP 1973,Osaka (JPN),GBR
29,15:05.73,13 JUL 2007,Kayoko FUKUSHI,6,25 MAR 1982,Roma (ITA),JPN
30,15:06.08,31 OCT 2007,Yingying ZHANG,3,04 JAN 1990,Wuhan (CHN),CHN
31,15:06.51,26 MAY 2007,Lornah KIPLAGAT,6,01 MAY 1974,Hengelo (NED),NED
32,15:08.03,31 OCT 2007,Pan HE,4,01 MAY 1988,Wuhan (CHN),CHN
33,15:08.08,14 OCT 2007,Eveline Nganga WAMBUI,1,04 APR 1986,Fukuroi (JPN),KEN
34,15:09.28,22 JUN 2007,Michelle SIKES,3,27 FEB 1985,Indianapolis (USA),USA
35,15:09.84,31 OCT 2007,Xue BAI,5,13 DEC 1988,Wuhan (CHN),CHN
36,15:10.32,15 JUN 2007,Sabrina MOCKENHAUPT,8,06 DEC 1980,Oslo (NOR),GER
37,15:11.82,01 SEP 2007,Olga KRAVTSOVA,12,25 JUL 1981,Osaka (JPN),BLR
38,15:12.12,13 APR 2007,Malindi ELMORE,3,13 MAR 1980,Walnut (USA),CAN
39,15:12.48,03 AUG 2007,Yelena ORLOVA,3,30 MAY 1980,Tula (RUS),RUS
40,15:14.05,18 JUL 2007,Esther Wanjiru MAINA,4,27 MAR 1977,Algiers (ALG),KEN
41,15:14.90,25 JUL 2007,Bizunesh URGESA,2,18 JUN 1989,Naimette-Xhov&#233;mont (BEL),ETH
42,15:15.34,26 MAY 2007,Kayo SUGIHARA,1,24 FEB 1983,Nobeoka (JPN),JPN
43,15:15.73,13 APR 2007,Megan WRIGHT,4,27 JAN 1982,Walnut (USA),CAN
44,15:15.77,13 APR 2007,Nora Leticia ROCHA,5,18 DEC 1967,Walnut (USA),MEX
45,15:16.33,18 JUL 2007,Simret SULTAN,5,20 JUL 1984,Algiers (ALG),ERI
46,15:16.39,26 MAY 2007,Eveline Kemunto KIMWEI,2,25 AUG 1987,Nobeoka (JPN),KEN
47,15:17.13,25 JUL 2007,Molly HUDDLE,3,31 AUG 1984,Naimette-Xhov&#233;mont (BEL),USA
48,15:18.18,07 AUG 2007,Sara SLATTERY,5,02 OCT 1981,Stockholm (SWE),USA
49,15:18.25,02 JUN 2007,Aheza KIROS,3,16 OCT 1985,New York (USA),ETH
50,15:18.70,16 SEP 2007,Irene Kwambai KIPCHUMBA,9,25 OCT 1978,Berlin (GER),KEN
51,15:19.04,13 APR 2007,Mary Teresa CULLEN,6,17 AUG 1982,Walnut (USA),IRL
52,15:19.19,07 APR 2007,Philes ONGORI,1,19 JUL 1986,Kumamoto (JPN),KEN
53,15:19.72,13 APR 2007,Sally KIPYEGO,7,19 DEC 1985,Walnut (USA),KEN
54,15:19.97,27 JUN 2007,Eunice JEPKORIR,4,17 FEB 1982,Ostrava (CZE),KEN
55,15:20.28,26 MAY 2007,Maryam Yusuf JAMAL,8,16 SEP 1984,Hengelo (NED),BRN
56,15:21.37,07 APR 2007,Yuriko KOBAYASHI,2,12 DEC 1988,Kumamoto (JPN),JPN
57,15:21.70,26 MAY 2007,Sule UTURA,10,08 FEB 1990,Hengelo (NED),ETH
58,15:21.74,07 AUG 2007,Zakia Mrisho MOHAMED,6,19 FEB 1984,Stockholm (SWE),TAN
59,15:21.98,07 APR 2007,Mary WANGARI,3,04 OCT 1986,Kumamoto (JPN),KEN
60,15:22.32,26 MAY 2007,Pauline Kiragu WANGURU,3,26 AUG 1980,Nobeoka (JPN),KEN
61,15:22.56,13 APR 2007,Sara HALL,8,15 APR 1983,Walnut (USA),USA
62,15:22.73,05 OCT 2007,Yukiko AKABA,1,18 OCT 1979,Akita (JPN),JPN
63,15:23.17,27 JUN 2007,Kseniya AGAFONOVA,5,04 MAR 1983,Ostrava (CZE),RUS
64,15:23.24,26 MAY 2007,Etalemahu KIDANE,11,14 FEB 1983,Hengelo (NED),ETH
65,15:23.37,16 SEP 2007,Veronica NYARUAI,10,29 OCT 1989,Berlin (GER),KEN
66,15:24.25,13 JUL 2007,Susanne WIGENE,9,12 FEB 1978,Roma (ITA),NOR
67,15:24.33,25 JUL 2007,Esther CHEMTAI,5,04 JUN 1988,Naimette-Xhov&#233;mont (BEL),KEN
68,15:26.65,16 SEP 2007,Ruth Bosibori NYANGAU,11,02 JAN 1988,Berlin (GER),KEN
69,15:26.72,09 JUN 2007,Xiaolin ZHU,2,20 FEB 1984,Suzhou (CHN),CHN
70,15:26.88,07 JUL 2007,Tetyana HOLOVCHENKO,1,13 FEB 1980,Donetsk (UKR),UKR
71,15:27.57,29 APR 2007,Renee BAILLIE,1,25 DEC 1981,Palo Alto (USA),USA
72,15:27.72,25 JUL 2007,Kate O&#39;NEILL,6,29 JUL 1980,Naimette-Xhov&#233;mont (BEL),USA
73,15:27.84,15 JUN 2007,Sentayehu EJIGU,10,28 JUN 1985,Oslo (NOR),ETH
74,15:28.31,15 JUL 2007,Souad AIT SALEM,1,06 JAN 1979,Longeville (FRA),ALG
75,15:29.10,25 JUL 2007,Kate REED,7,28 SEP 1982,Naimette-Xhov&#233;mont (BEL),GBR
76,15:29.36,31 OCT 2007,Huirong CHEN,6,01 JUN 1988,Wuhan (CHN),CHN
77,15:30.04,16 JUN 2007,Mizuki NOGUCHI,1,03 JUL 1978,Amagasaki (JPN),JPN
78,15:30.06,28 SEP 2007,Bethelhem MOGES,4,03 MAY 1991,Shanghai (CHN),ETH
79,15:30.25,29 APR 2007,Megumi KINUKAWA,2,07 AUG 1989,Hiroshima (JPN),JPN
80,15:30.32,15 JUL 2007,Christelle DAUNAY,2,05 DEC 1974,Longeville (FRA),FRA
81,15:30.61,13 APR 2007,Shayne WILLE-CULPEPPER,9,03 DEC 1973,Walnut (USA),USA
82,15:30.71,29 APR 2007,Yoko SHIBUI,4,14 MAR 1979,Hiroshima (JPN),JPN
83,15:31.21,28 SEP 2007,Makeda HARONA,6,1988,Shanghai (CHN),ETH
84,15:31.34,29 APR 2007,Arianna LAMBIE,3,12 JUN 1985,Palo Alto (USA),USA
85,15:31.94,17 JUN 2007,Bilha KAMAU,1,02 JUL 1988,Shibetsu (JPN),KEN
86,15:32.33,29 MAY 2007,Ashu KASIM,1,20 OCT 1984,Beograd (SRB),ETH
87,15:32.37,26 MAY 2007,Hilde KIBET,12,27 MAR 1981,Hengelo (NED),NED
88,15:32.75,09 JUN 2007,Chengcheng JIANG,4,05 NOV 1986,Suzhou (CHN),CHN
89,15:33.11,03 AUG 2007,Yuliya VINOKUROVA,4,17 JUN 1972,Tula (RUS),RUS
90,15:33.31,02 JUN 2007,Mahlet MELESE,1,20 MAY 1990,Barcelona (ESP),ETH
91,15:33.40,29 APR 2007,Yoshimi OZAKI,5,01 JUL 1981,Hiroshima (JPN),JPN
92,15:33.63,17 JUN 2007,Biruk KONJIT TILAHUN,2,22 SEP 1987,Shibetsu (JPN),ETH
93,15:33.70,17 JUN 2007,Erba Tiki GELANA,3,22 OCT 1987,Shibetsu (JPN),ETH
94,15:33.90,02 JUN 2007,Helah KIPROP,2,07 APR 1985,Trento (ITA),KEN
95,15:33.93,07 AUG 2007,Jelena PROKOPČUKA,7,21 SEP 1976,Stockholm (SWE),LAT
96,15:33.95,09 JUN 2007,Xiaoqin DONG,5,02 JAN 1983,Suzhou (CHN),CHN
97,15:34.03,07 APR 2007,Rahab Watetu NDUNG&#39;U,5,28 NOV 1980,Kumamoto (JPN),KEN
98,15:34.19,25 JUL 2007,Nathalie DE VOS,9,09 DEC 1982,Naimette-Xhov&#233;mont (BEL),BEL
99,15:34.20,02 JUN 2007,Ferhiwot GOSHU,2,28 JUN 1990,Barcelona (ESP),ETH
100,15:34.35,29 APR 2007,Hitomi NIIYA,6,26 FEB 1988,Hiroshima (JPN),JPN
101,15:34.41,21 JUL 2007,Andrea GROVE-MCDONOUGH,4,10 JUL 1973,Brasschaat (BEL),CAN
101,15:34.41,21 JUL 2007,Melissa COOK,3,22 NOV 1979,Brasschaat (BEL),USA
103,15:34.56,13 APR 2007,Treniere MOSER,12,27 OCT 1981,Walnut (USA),USA
104,15:35.00,17 MAR 2007,Ren&#233; KALMER,1,03 NOV 1980,Durban (RSA),RSA
105,15:35.20,29 MAY 2007,Alice Jemeli TIMBILILI,3,01 FEB 1983,Beograd (SRB),KEN
106,15:35.25,28 APR 2007,Yingying ZHU,1,18 AUG 1988,Beijing (CHN),CHN
107,15:35.36,07 APR 2007,Kumi AKAISHI,6,23 AUG 1981,Kumamoto (JPN),JPN
108,15:35.76,02 JUN 2007,Peninah CHEPCHUMBA,3,14 JAN 1985,Trento (ITA),KEN
109,15:35.92,19 MAY 2007,Tomomi YUDA,2,28 MAY 1985,Amagasaki (JPN),JPN
110,15:36.25,26 MAY 2007,Adriana FERN&#193;NDEZ MIRANDA,1,04 APR 1971,Eugene (USA),MEX
111,15:36.42,26 MAY 2007,Felicia WAMBUI,4,15 AUG 1983,Nobeoka (JPN),KEN
112,15:36.45,02 MAR 2007,Benita WILLIS-JOHNSON,2,06 MAY 1979,Melbourne (AUS),AUS
113,15:36.56,23 JUN 2007,Souad KABOUCHIA,1,12 AUG 1982,Bilbao (ESP),MAR
114,15:36.94,28 APR 2007,Huina XING,2,25 FEB 1984,Beijing (CHN),CHN
115,15:37.08,23 JUN 2007,Judit PLA,2,02 MAY 1978,Bilbao (ESP),ESP
116,15:37.41,26 MAY 2007,Noriko MATSUOKA,6,02 MAY 1979,Nobeoka (JPN),JPN
117,15:37.54,26 MAY 2007,Yoko MIYAUCHI,7,19 JUN 1983,Nobeoka (JPN),JPN
118,15:37.72,02 JUN 2007,Silvia SOMMAGGIO,4,20 NOV 1969,Trento (ITA),ITA
119,15:38.07,29 MAY 2007,Fridah DOMONGOLE,4,15 JAN 1984,Beograd (SRB),KEN
120,15:38.29,07 JUL 2007,Yelizaveta GRECHISHNIKOVA,2,12 DEC 1983,Tula (RUS),RUS
121,15:38.32,02 JUN 2007,Beatrice CHEPCHUMBA,5,25 NOV 1983,Trento (ITA),KEN
122,15:38.40,03 AUG 2007,Regina KASHAYEVA,5,05 NOV 1979,Tula (RUS),RUS
123,15:38.43,23 JUN 2007,Leonor CARNEIRO,3,18 MAY 1978,Bilbao (ESP),POR
124,15:38.54,13 APR 2007,Mandi ZEMBA,14,01 JUL 1983,Walnut (USA),USA
125,15:38.63,26 MAY 2007,Mai ENDO,9,22 DEC 1986,Nobeoka (JPN),JPN
126,15:38.64,07 AUG 2007,Katie MCGREGOR,8,02 SEP 1977,Stockholm (SWE),USA
127,15:38.66,09 JUN 2007,Rong CHEN,7,18 MAY 1988,Suzhou (CHN),CHN
128,15:38.80,05 OCT 2007,Megumi SEIKE,2,26 FEB 1987,Akita (JPN),JPN
129,15:38.84,05 OCT 2007,Mizuho NASUKAWA,3,22 NOV 1979,Akita (JPN),JPN
130,15:38.85,26 MAY 2007,Christine BARDELLE,15,16 AUG 1974,Hengelo (NED),FRA
131,15:39.22,07 JUL 2007,Nataliya BERKUT,2,30 MAY 1975,Donetsk (UKR),UKR
132,15:39.74,01 DEC 2007,Felista WANJUGU,1,18 FEB 1990,Yokohama (JPN),KEN
133,15:39.94,01 DEC 2007,Ryoko KIZAKI,3,21 JUN 1985,Yokohama (JPN),JPN
134,15:40.12,01 DEC 2007,Kazue KOJIMA,4,14 OCT 1987,Yokohama (JPN),JPN
135,15:40.77,29 MAY 2007,Peninah SKARUMBA,6,,Beograd (SRB),KEN
136,15:41.10,07 APR 2007,Mary Mureithi WANGARI,7,09 APR 1978,Kumamoto (JPN),KEN
137,15:41.16,02 JUN 2007,Vincenza SICARI,6,19 MAR 1979,Trento (ITA),ITA
138,15:41.29,02 JUN 2007,Amy RUDOLPH,6,18 SEP 1973,New York (USA),USA
139,15:41.31,22 APR 2007,Nian LIU,1,26 APR 1988,Beijing (CHN),CHN
140,15:41.39,05 OCT 2007,Aya MANOME,6,30 AUG 1982,Akita (JPN),JPN
141,15:41.54,01 DEC 2007,Kasumi NISHIHARA,6,01 MAR 1989,Yokohama (JPN),JPN
142,15:42.01,27 JUL 2007,Cack FERRELL,2,21 JUN 1984,Rio de Janeiro (BRA),USA
143,15:42.04,03 AUG 2007,Olga ROSSEYEVA,7,01 AUG 1981,Tula (RUS),RUS
144,15:42.12,09 JUN 2007,Katrina WOOTTON,1,02 SEP 1985,Manchester (GBR),GBR
145,15:42.14,09 JUN 2007,Yuanyuan JIANG,8,20 DEC 1986,Suzhou (CHN),CHN
146,15:42.20,17 OCT 2007,Peninah ARUSEI,1,23 FEB 1979,Hyderabad (IND),KEN
147,15:42.59,30 OCT 2007,Xiaoxue SONG,3h2,13 FEB 1987,Wuhan (CHN),CHN
148,15:42.66,02 JUN 2007,Alessandra AGUILAR,3,01 JUL 1978,Barcelona (ESP),ESP
149,15:42.74,20 OCT 2007,Gladys WAMUYU,1,23 DEC 1972,Oita (JPN),KEN
150,15:43.00,14 OCT 2007,Winfredah KEBASO,3,16 APR 1985,Fukuroi (JPN),KEN
151,15:43.40,05 OCT 2007,Madoka OGI,7,26 OCT 1983,Akita (JPN),JPN
152,15:44.07,30 OCT 2007,Xiaofan HAO,5h1,09 DEC 1989,Wuhan (CHN),CHN
153,15:44.21,13 OCT 2007,Kaori URATA,3,18 SEP 1985,Kobe (JPN),JPN
154,15:44.33,26 MAY 2007,Kazue OGOSHI,10,02 MAR 1981,Nobeoka (JPN),JPN
155,15:44.55,13 APR 2007,Whitney MCDONALD,15,18 AUG 1985,Walnut (USA),USA
155,15:44.55,02 JUN 2007,Renate RUNGGER,7,06 SEP 1979,Trento (ITA),ITA
157,15:44.63,05 OCT 2007,Seika NISHIKAWA,8,17 JUL 1987,Akita (JPN),JPN
158,15:44.68,10 JUN 2007,Jane Gakunyi WANJIKU,2,14 JUN 1979,Abashiri (JPN),KEN
159,15:44.81,10 JUN 2007,Yukari SO,3,20 APR 1984,Abashiri (JPN),JPN
160,15:45.10,06 OCT 2007,Yumi HIRATA,3,22 JUN 1981,Takamatsu (JPN),JPN
161,15:45.15,01 JUL 2007,Yurika NAKAMURA,9,01 APR 1986,Osaka (JPN),JPN
162,15:45.35,03 AUG 2007,Galina YEGOROVA,8,05 AUG 1983,Tula (RUS),RUS
162,15:45.35,01 DEC 2007,Michi NUMATA,7,06 MAY 1989,Yokohama (JPN),JPN
164,15:45.51,26 MAY 2007,Hiroko MIYAUCHI,13,19 JUN 1983,Nobeoka (JPN),JPN
165,15:45.74,29 APR 2007,Mika YOSHIKAWA,8,16 SEP 1984,Hiroshima (JPN),JPN
166,15:45.87,30 OCT 2007,Chaofeng JIA,6h2,16 NOV 1988,Wuhan (CHN),CHN
167,15:46.00,06 OCT 2007,Yoshiko FUJINAGA,4,15 AUG 1981,Takamatsu (JPN),JPN
168,15:46.22,24 JUN 2007,Kalliopi ASTROPEKAKI,3,15 DEC 1981,M&#252;nchen (GER),GRE
169,15:46.40,06 OCT 2007,Eri SATO,5,05 APR 1986,Takamatsu (JPN),JPN
170,15:46.41,09 JUN 2007,Xu QIUZI,9,08 FEB 1991,Suzhou (CHN),CHN
171,15:46.43,18 MAR 2007,Donna TYBEREK-MACFARLANE,1,18 JUN 1977,Hobart (AUS),AUS
172,15:46.89,27 JUL 2007,Dulce Mar&#237;a RODR&#205;GUEZ,4,14 AUG 1972,Rio de Janeiro (BRA),MEX
173,15:46.95,30 OCT 2007,Lijuan LIU,6h1,01 APR 1988,Wuhan (CHN),CHN
174,15:47.00,03 AUG 2007,Valentina LEVUSHKINA,9,30 APR 1982,Tula (RUS),RUS
175,15:47.53,07 AUG 2007,Stephanie TWELL,9,17 AUG 1989,Stockholm (SWE),GBR
176,15:47.61,27 JUL 2007,Luc&#233;lia DE OLIVEIRA PERES,5,26 AUG 1981,Rio de Janeiro (BRA),BRA
177,15:47.72,13 APR 2007,Christin WURTH-THOMAS,17,11 JUL 1980,Walnut (USA),USA
178,15:47.92,19 MAY 2007,Kiyomi OGAWA,3,15 SEP 1981,Amagasaki (JPN),JPN
179,15:48.24,29 APR 2007,Jenny SIMPSON,4,23 AUG 1986,Palo Alto (USA),USA
180,15:48.38,05 OCT 2007,Mika OKUNAGA,10,27 OCT 1982,Akita (JPN),JPN
181,15:48.39,18 JUN 2007,Galina MAKSIMOVA,1,02 JAN 1986,Tula (RUS),RUS
182,15:48.74,17 OCT 2007,Nadia EJJAFINI,2,08 NOV 1977,Hyderabad (IND),BRN
183,15:49.12,26 MAY 2007,Victoria MITCHELL,16,25 APR 1982,Hengelo (NED),AUS
184,15:49.19,19 MAY 2007,Hanane OUHADDOU,1,01 JAN 1982,Amman (JOR),MAR
185,15:49.27,23 JUN 2007,Ines MONTEIRO,5,18 MAY 1980,Bilbao (ESP),POR
186,15:49.29,26 MAY 2007,Ho-Son PARK,16,17 NOV 1986,Nobeoka (JPN),KOR
187,15:49.31,13 JUL 2007,Amane GOBENA,13,11 SEP 1982,Roma (ITA),ETH
188,15:49.45,01 DEC 2007,Yuko SHIMIZU,9,13 JUL 1985,Yokohama (JPN),JPN
189,15:49.97,27 JUL 2007,Bertha S&#193;NCHEZ,6,04 NOV 1978,Rio de Janeiro (BRA),COL
190,15:50.19,30 MAR 2007,Amy CRAGG,2,21 JAN 1984,Palo Alto (USA),USA
191,15:50.25,04 AUG 2007,Marta ROMO,2,25 DEC 1987,San Sebasti&#225;n (ESP),ESP
192,15:50.49,29 APR 2007,Mari OZAKI,11,16 JUL 1975,Hiroshima (JPN),JPN
193,15:50.55,11 AUG 2007,Mary WACERA,1,17 DEC 1988,Ouagadougou (BUR),KEN
194,15:50.65,09 SEP 2007,Katarzyna KOWALSKA,1,07 APR 1985,Słupsk (POL),POL
195,15:51.45,18 JUN 2007,Natalya POPKOVA,,21 SEP 1988,Tula (RUS),RUS
196,15:51.46,03 JUN 2007,Hayley YELLING-HIGHAM,8,03 JAN 1974,Glasgow (GBR),GBR
197,15:51.53,24 JUN 2007,Liliya SHOBUKHOVA,4,13 NOV 1977,M&#252;nchen (GER),RUS
198,15:51.81,21 JUN 2007,Koren Jelila YAL,1,18 JAN 1987,Algiers (ALG),ETH
198,15:51.81,15 JUL 2007,Chiaki IWAMOTO,7,06 MAR 1985,Sapporo (JPN),JPN
200,15:51.83,13 OCT 2007,Chiaki TAKAGI,4,22 SEP 1987,Kobe (JPN),JPN
201,15:51.93,14 OCT 2007,Penniah WANJIRU,5,11 OCT 1984,Fukuroi (JPN),KEN
202,15:51.94,01 JUL 2007,Miho NOTAGASHIRA,12,17 AUG 1983,Osaka (JPN),JPN
203,15:52.08,08 JUN 2007,Julia LUCAS,4,04 MAR 1984,Sacramento (USA),USA
204,15:52.15,19 MAY 2007,Karima Saleh JASSEM,2,18 FEB 1988,Amman (JOR),BRN
205,15:52.21,04 AUG 2007,Yesenia CENTENO,3,27 JUN 1971,San Sebasti&#225;n (ESP),ESP
206,15:52.41,29 MAY 2007,Margaret MAURY,7,15 MAY 1974,Beograd (SRB),FRA
207,15:52.50,07 AUG 2007,Christin JOHANSSON,10,26 JAN 1978,Stockholm (SWE),SWE
208,15:52.73,14 JUN 2007,Kana NOMURA,3,,Kitakami (JPN),JPN
209,15:52.83,08 JUN 2007,Maddie MCKEEVER,5,06 FEB 1987,Sacramento (USA),USA
210,15:52.98,07 JUL 2007,Tetyana KRIVOBOK-MEZENTSEVA,3,17 JAN 1972,Donetsk (UKR),UKR
211,15:52.99,10 JUN 2007,Paula TODORAN,2,09 JUN 1985,Bucuresti (ROU),ROU
212,15:53.23,29 AUG 2007,Angeline NYIRANSABIMANA,12h2,10 JAN 1988,Osaka (JPN),RWA
213,15:53.36,30 MAR 2007,Anna WILLARD,4,31 MAR 1984,Palo Alto (USA),USA
214,15:53.46,02 JUN 2007,Genzebe DIBABA,10,08 FEB 1991,New York (USA),ETH
215,15:53.57,01 DEC 2007,Ikumi NASUHATRA,11,31 AUG 1990,Yokohama (JPN),JPN
216,15:53.65,15 JUL 2007,Yuki KAZAMA,8,29 NOV 1985,Sapporo (JPN),JPN
217,15:53.69,18 JUN 2007,Svetlana SIMAKOVA,2,12 JUN 1987,Tula (RUS),RUS
218,15:53.89,08 JUN 2007,Teresa MCWALTERS,6,15 NOV 1984,Sacramento (USA),USA
219,15:54.14,30 MAR 2007,Amy YODER BEGLEY,5,11 JAN 1978,Palo Alto (USA),USA
220,15:54.28,05 OCT 2007,Yuko MANABE,11,08 FEB 1979,Akita (JPN),JPN
221,15:54.31,20 APR 2007,Lisa WEIGHTMAN,3,16 JAN 1979,Eugene (USA),AUS
222,15:54.32,08 DEC 2007,Triyaningsih TRIYANINGSIH,1,15 MAY 1987,Korat (THA),INA
223,15:54.41,15 JUL 2007,Natalya PAVLOVSKAYA,3,30 APR 1975,Longeville (FRA),RUS
224,15:54.50,30 MAR 2007,Liza PASCIUTO,6,08 AUG 1986,Palo Alto (USA),USA
225,15:54.52,30 MAR 2007,Erin WEBSTER,7,11 NOV 1985,Palo Alto (USA),USA
226,15:54.59,27 JUN 2007,Krisztina PAPP,6,17 DEC 1982,Ostrava (CZE),HUN
227,15:54.96,10 JUN 2007,Ai SATO,6,24 DEC 1987,Abashiri (JPN),JPN
228,15:55.02,29 APR 2007,Marina HAGA,12,12 JUL 1983,Hiroshima (JPN),JPN
229,15:55.33,03 AUG 2007,Yuhong ZHANG,4,15 JAN 1983,Shijiazhuang (CHN),CHN
230,15:55.36,26 MAY 2007,Aimi HORIKOSHI,19,22 NOV 1987,Nobeoka (JPN),JPN
231,15:55.46,27 JUL 2007,Ednalva Lauriano DA SILVA,7,10 DEC 1976,Rio de Janeiro (BRA),BRA
232,15:55.71,21 JUL 2007,Yukari INATOMI,6,16 JAN 1986,Brasschaat (BEL),JPN
233,15:55.86,01 JUL 2007,Akemi OZAKI,14,12 OCT 1977,Osaka (JPN),JPN
234,15:55.91,12 MAY 2007,Beth WIGHTMAN,1,30 JUN 1981,Windsor (CAN),CAN
235,15:55.92,03 AUG 2007,Natalya BELOVA,11,12 MAR 1982,Tula (RUS),RUS
236,15:55.99,30 MAR 2007,Anita LOOPER,8,21 OCT 1975,Palo Alto (USA),NED
237,15:56.30,18 JUL 2007,Meraf BAHTA,7,24 JUN 1989,Algiers (ALG),ERI
238,15:56.34,12 MAY 2007,Megan BROWN,2,30 APR 1985,Windsor (CAN),CAN
239,15:56.35,15 JUL 2007,Chiyuki NAKANISHI,9,31 OCT 1983,Sapporo (JPN),JPN
240,15:56.62,24 JUN 2007,Karoline Bjerkeli GR&#216;VDAL,2,14 JUN 1990,Vaasa (FIN),NOR
241,15:56.73,29 APR 2007,Megumi TANAKA-OSHIMA,13,04 SEP 1975,Hiroshima (JPN),JPN
242,15:56.89,09 JUN 2007,Laura WHITTLE,2,27 JUN 1985,Manchester (GBR),GBR
243,15:56.93,23 JUN 2007,Gezashign HUNDESA,6,1990,Bilbao (ESP),ETH
244,15:57.05,07 JUL 2007,Oksana BELYAKOVA,4,09 SEP 1975,Tula (RUS),RUS
245,15:57.17,19 SEP 2007,Lingling JIN,5,16 JAN 1987,Urumqi (CHN),CHN
246,15:57.25,13 OCT 2007,Saori GOTO,5,13 AUG 1988,Kobe (JPN),JPN
